question,votes,tags
Is there a way to hide the scroll indicators in a UIScrollView?,135,"ios, uiscrollview"
Segue to another storyboard?,135,"ios, xcode, cocoa-touch, ios5, uistoryboard"
Seeing black bars at the top and bottom of the iPhone X Simulator,135,"ios, uinavigationbar, ios-simulator, xcode9, iphone-x"
Missing Push Notification Entitlement,135,"ios, profile, apple-push-notifications"
Max length UITextField,134,"ios, swift, uitextfield, character, max"
How to change the blue highlight color of a UITableViewCell?,134,"ios, uitableview"
Setting Corner Radius on UIImageView not working,134,"iphone, ios, uiimageview, rounded-corners"
How can I create a UILabel with strikethrough text?,134,"ios, swift, cocoa-touch, uilabel, strikethrough"
unable to dequeue a cell with identifier Cell - must register a nib or a class for the identifier or connect a prototype cell in a storyboard,134,"ios, swift, iphone, xcode6"
App not setup: This app is still in development mode,134,"android, ios, api, facebook, facebook-login"
How can I change the image displayed in a UIImageView programmatically?,134,"ios, uiimageview"
How big should a UIBarButtonItem image be?,134,"ios, uikit, uibarbuttonitem, uibaritem"
stringByAppendingPathComponent is unavailable,134,"ios, swift, swift2"
What does deployment target mean?,134,"ios, xcode, ios10"
What's the dSYM and how to use it? (iOS SDK),134,"debugging, sdk, compilation, ios"
Xcode changes unmodified storyboard and XIB files,134,"ios, xcode, interface-builder, storyboard, xib"
Reason: no suitable image found [closed],133,"ios, iphone, xcode, dyld"
How do I auto size a UIScrollView to fit its content,133,"iphone, ios, objective-c, cocoa-touch, uiscrollview"
Swift days between two NSDates,133,"ios, swift, date, date-difference"
Concurrent vs serial queues in GCD,133,"ios, multithreading, concurrency, grand-central-dispatch"
UITableView set to static cells. Is it possible to hide some of the cells programmatically?,133,"ios, objective-c, uitableview"
Difference between leftAnchor and leadingAnchor?,133,"ios, layout"
What is the difference between Pan and Swipe in iOS?,133,"ios, gesture-recognition, gestures"
Renew Push certificate and keep current App Store App working,133,"ios, push-notification, apple-push-notifications"
Method overloading in Objective-C?,133,"ios, objective-c, overloading"
Xcode 8.3.3 “No accounts with iTunes Connect access”,133,"ios, xcode, app-store-connect, xcode8"
How to “set a breakpoint in malloc_error_break to debug”,133,"iphone, ios"
How to center a subview of UIView,132,"iphone, objective-c, ios, ipad"
How to set UITextField height?,132,"iphone, ios, xcode, uitextfield"
UIScrollView not scrolling,132,"ios, iphone, ipad, uiscrollview"
Remove the cell highlight color of UITableView,132,"ios, objective-c, uitableview"
How to recognize swipe in all 4 directions,132,"ios, swift, swipe, direction, uiswipegesturerecognizer"
How to draw a custom UIView that is just a circle - iPhone app,132,"iphone, ios, ipad, uiview"
Bordered UITextView,132,"ios, quartz-core"
Detected a case where constraints ambiguously suggest a height of zero,132,"ios, objective-c, swift, xcode, uitableview"
How to control shadow spread and blur?,132,"ios, swift, uiview, core-graphics"
How can I enable zoom in on UIWebView which inside the UIScrollView?,132,"objective-c, ios, cocoa-touch, uiwebview, zooming"
Check if my app has a new version on AppStore,132,"ios, iphone, xcode, app-store, version"
Xcode 8 recompiling complete code every time,132,"ios, xcode"
Xcode doesn't see my iOS device but iTunes does,131,"iphone, ios, xcode, ipad, provisioning"
Adding blur effect to background in swift,131,"ios, swift"
"iOS app, programmatically get build version",131,"ios, objective-c"
Xcode 7 Beta warnings: Interface Orientations and Launch Storyboard,131,"ios, xcode"
"Print: Entry, “:CFBundleIdentifier”, Does Not Exist",131,"ios, reactjs, react-native"
How to parse JSON response from Alamofire API in Swift?,131,"ios, json, swift, alamofire"
Stop “developer tools access needs to take control of another process for debugging to continue” alert,131,"ios, ios-simulator, osx-lion"
Setting direction for UISwipeGestureRecognizer,131,"ios, iphone, swipe, uiswipegesturerecognizer"
What exactly is init coder aDecoder?,131,"ios, swift"
How to make iPhone vibrate using Swift?,130,"ios, iphone, swift, vibration"
Run react-native application on iOS device directly from command line?,130,"ios, react-native"
UITableView : viewForHeaderInSection: not called during reloadData:,130,"ios, uitableview, uitableviewsectionheader"
How can I add CGPoint objects to an NSArray the easy way?,130,"ios, objective-c, iphone, cocoa-touch, uikit"
Get current scroll position of ScrollView in React Native,130,"ios, reactjs, react-native"
How can I add NSAppTransportSecurity to my info.plist file?,130,"ios, objective-c, xcode, ios9"
How can I save an image to the camera roll?,130,"iphone, ios, objective-c, ipad, camera"
How to Completely Uninstall Xcode and Clear All Settings,130,"ios, xcode, macos, uninstallation"
Xcode iOS 8 Keyboard types not supported,130,"ios, xcode, keyboard, swift, ios8"
"Understand convertRect:toView:, convertRect:FromView:, convertPoint:toView: and convertPoint:fromView: methods",130,"ios, layout, uiview"
Difference between DispatchQueue.main.async and DispatchQueue.main.sync,130,"ios, swift, multithreading, swift3, concurrency"
iOS push notification: how to detect if the user tapped on notification when the app is in background?,130,"ios, swift, push-notification, apple-push-notifications"
"How to remove extra empty cells in TableViewController, iOS - Swift",129,"ios, swift, tableview"
UILabel is not auto-shrinking text to fit label size,129,"iphone, objective-c, ios, cocoa-touch, ipad"
Imitate Facebook hide/show expanding/contracting Navigation Bar,129,"ios, iphone, objective-c, ios7, uinavigationbar"
Get the current displaying UIViewController on the screen in AppDelegate.m,129,"iphone, ios, uiviewcontroller, push-notification"
"iOS (iPhone, iPad, iPodTouch) view real-time console log terminal",129,ios
Get an array of property values from an object array,129,"ios, arrays, swift"
Code signing is required for product type Unit Test Bundle in SDK iOS 8.0,129,"ios, objective-c, xcode"
Displaying a stock iOS notification banner when your app is open and in the foreground?,129,"ios, uikit, apple-push-notifications, uilocalnotification, toast"
Why am I getting ibtool failed with exit code 255?,129,"ios, xcode"
Xcode Unit Testing with Cocoapods,129,"ios, xcode, unit-testing, cocoapods, xctest"
Fatal error: unexpectedly found nil while unwrapping an Optional values [duplicate],129,"ios, swift, uicollectionview"
UITableViewCell Separator disappearing in iOS7,129,"ios, objective-c, uitableview, cocoa-touch, uikit"
App Store Connect message: Your account will soon need to be migrated to federated auth,129,"ios, macos, app-store-connect, apple-developer, apple-developer-account"
UICollectionView current visible cell index,128,"ios, objective-c, ipad, uicollectionview"
What's a simple way to get a text input popup dialog box on an iPhone,128,"iphone, ios"
Xcode 8 - Missing Files warnings,128,"ios, cocoapods, xcode8"
Getting and Setting Cursor Position of UITextField and UITextView in Swift,128,"ios, swift, uitextfield, uitextview, uitextposition"
Difference between dispatch_async and dispatch_sync on serial queue?,128,"ios, multithreading, grand-central-dispatch"
“RCTBundleURLProvider.h” file not found - AppDelegate.m,128,"ios, xcode, react-native"
How to determine height of UICollectionView with FlowLayout,128,"ios, height, uicollectionview, autolayout"
"Error: CUICatalog: Invalid asset name supplied: (null), or invalid scale factor : 2.000000",128,"ios, objective-c, xcode5"
How to get a user's time zone?,128,"ios, xcode, swift, macos, nstimezone"
How to compare UIColors?,128,"ios, objective-c, cocoa-touch, uiimageview, uicolor"
Passing parameters to addTarget:action:forControlEvents,128,"ios, objective-c, iphone, cocoa-touch, uicontrolevents"
No identities are available for signing Xcode 5,128,"ios, code-signing, xcode5, validating"
What is the documents directory (NSDocumentDirectory)?,128,"ios, nsdocumentdirectory"
Conditional Binding: if let error – Initializer for conditional binding must have Optional type,128,"ios, swift, optional-binding"
`React/RCTBridgeModule.h` file not found,128,"ios, xcode, reactjs, native, react-native-ios"
Which iOS app version/build number(s) MUST be incremented upon App Store release?,128,"ios, app-store, app-store-connect, mac-app-store"
Storyboard warning: prototype table cells must have reuse identifiers,128,"iphone, ios, xcode, storyboard"
RootViewController Switch Transition Animation,127,"objective-c, ios, xcode, cocoa-touch"
How can I take an UIImage and give it a black border?,127,"iphone, ios, objective-c, uiimageview, uiimage"
How to pre-populate the sms body text via an html link,127,"html, ios, hyperlink, sms"
Xcode doesn't show the line that causes a crash,127,"objective-c, ios, xcode, cocoa-touch, nsexception"
How do I get the key at a specific index from a Dictionary in Swift?,127,"ios, dictionary, swift"
How to use UIScrollView in Storyboard,127,"ios, xcode, uiscrollview, uistoryboard"
How can I launch Safari from an iPhone app?,127,"ios, safari, launch"
iOS: how to perform a HTTP POST request?,127,"iphone, objective-c, ios"
Is there a good charting library for iPhone? [closed],127,"ios, cocoa, cocoa-touch, charts, core-plot"
Center NSTextAttachment image next to single line UILabel,126,"ios, objective-c, swift, uilabel, nstextattachment"
Subtract 7 days from current date,126,"objective-c, ios, nsdate"
How to check current thread in Swift 3?,126,"ios, multithreading, swift3, nsthread"
Cordova: start specific iOS emulator image,126,"ios, iphone, cordova"
UIRefreshControl - beginRefreshing not working when UITableViewController is inside UINavigationController,126,"ios, objective-c, uitableview, uinavigationcontroller, uirefreshcontrol"
What is the second parameter of NSLocalizedString()?,126,"ios, objective-c, swift, xcode, localization"
Programmatically fire button click event?,126,"ios, objective-c, iphone"
Detecting taps on attributed text in a UITextView in iOS,126,"ios, objective-c, uitextview, textkit"
iOS: How does one animate to new autolayout constraint (height),126,"ios, uiview, autolayout, nslayoutconstraint"
"Is it possible to adjust x,y position for titleLabel of UIButton?",125,"ios, iphone, uibutton, textlabel"
Using Tint color on UIImageView,125,"ios, xcode, uiimageview, uibutton, tintcolor"
iPhone Simulator location,125,"iphone, objective-c, ios, xcode, ios-simulator"
How to get height of Keyboard?,125,"ios, swift, uikeyboard"
"UIAlertController custom font, size, color",125,"ios, objective-c, ios8, uialertview, uialertcontroller"
Swift Bridging Header import issue,125,"ios, swift, xcode6, bridging-header, objective-c-swift-bridge"
appearanceWhenContainedIn in Swift,125,"ios, swift, uiappearance"
How can a web application send push notifications to iOS devices? [closed],125,"ios, iphone, web-applications, apple-push-notifications"
WKWebView not loading local files under iOS 8,125,"ios, swift, ios8, wkwebview"
Can you autoplay HTML5 videos on the iPad?,125,"jquery, ios, objective-c, html, cocoa-touch"
Do I set properties to nil in dealloc when using ARC?,125,"objective-c, ios, automatic-ref-counting"
Clearing purchases from iOS in-app purchase sandbox for a test user,125,"iphone, ios, in-app-purchase"
Registering for Push Notifications in Xcode 8/Swift 3.0?,124,"ios, push-notification, swift3, ios10, unusernotificationcenter"
Adjust UIButton font size to width,124,"ios, objective-c"
How to change UIButton image in Swift,124,"ios, xcode, swift, uibutton"
Xcode MyProjectName-Bridging-Header.h does not exist,124,"ios, objective-c, xcode, swift"
Cordova app not displaying correctly on iPhone X (Simulator),124,"ios, cordova, phonegap, iphone-x"
UITableView dynamic cell heights only correct after some scrolling,124,"ios, uitableview, ios8, autolayout, ios-autolayout"
How to get my IP address programmatically on iOS/macOS?,124,"ios, macos, ip-address, ipv6"
Why do we use use_frameworks! in CocoaPods?,124,"ios, frameworks, cocoapods, static-libraries"
iOS 7.0 No code signing identities found,124,"ios, ios7, code-signing"
Disabling user selection in UIWebView,123,"ios, uiwebview, webkit, ios4, mobile-webkit"
Swift: delete all array elements,123,"ios, swift"
How to add minutes to current time in swift,123,"ios, swift, date"
Convert NSData to String?,123,"iphone, ios, sqlite, openssl, nsdata"
Migrating from UIWebView to WKWebView,123,"ios, swift, uiwebview, wkwebview"
Xcode6: Run two instances of the simulator,123,"ios, xcode, xcode6, simulator"
